Parameter Name,Values,Description
n_estimators,"range(100, 600, 100)",The number of base estimators in the ensemble.
max_samples,"range(100, 600, 100)",The number of samples to draw from the dataset to train each base estimator.
max_features,"1, 5, 10, 15",The number of features to draw from the dataset to train each base estimator.
contamination,0.0001,The proportion of outliers in the dataset.
